User,Rating,Review,Date
SYAUQI,5,"Saya orang Indonesia,,tinggal di Jepang,, sudah banyak order di aplikasi ini,walau barang dari China tapi sudah berkolaborasi dengan ekspedisi lokal sehingga barang cepat sampai dan tidak dibebankan pajak.dan bagusnya lagi... Dalam satu orderan yang isinya dari beberapa toko pun ..bisa dijadikan dalam satu paket yang menjadikannya simple ...ini seharusnya perlu ditiru di Indonesia.",2024-08-02 03:55:34
Bimbi Sri,5,Bohongggggggg tidak sesuai dengan iklan yg di tampilkan 😔 pas mau beli barang yg murah tiba2 banyak iklan yg datang ✌ yg lebih parahnya lagi barang yg mau di beli malah keras sendiri 😢 tidak bisa di klik sama sekali 😞 aku benar2 kecewa pada apk ini 🤧 buat kalian yg belum coba apk ini silakan download. Agar kalian tahu kebenarannya thank you 🙏🙏,2024-09-04 17:44:23
Mochammad Saleh yuliadi,5,99.5 di buat lama untuk water belanja ngikuti harga dr temu hrs belanja dengan harga dr temu.untuk celana semua di beri ukuran nomer aja 28.29.30 dst biar gak bingung yg sjpgl1 apa bingung.,2024-10-07 18:08:42
Sumarno Indonesia,5,sesuai dengan yg di inginkan dan sangat bagus semua produk nya terimakasih banyak untuk semua peroduk ...TEMU,2024-09-17 18:05:00
Andi Kusnadi,5,Klo support pengiriman ke negara indonesia bisa mah bagus ini cuman sayang nya ga bisa buat pengirima ke negara indonesia,2024-08-18 10:24:32
Asyifah Shine29,5,"Buat kalian yg tinggal di indonesia, mohon banget jgm bod*h & bikin malu, apk ini ga ada indonesia nya, ya karena ga ada izin dari negara kita, yakali main nyelonong aja (berarti ini apk bagus) dia g menghalalkan segala cara, dan melakukan bisnis secara legal bkn ilegal, paham kalian, minimal cari info dulu & dipelajarin sebelum banyak omong",2024-06-23 07:09:37
Jaja Miharja,5,"Trimakasih temu barang sudah sampai dalam 6 hari, dapat sepatu harga 55K kualitas top dapat gratis ongkir pula plus cashback, padahal disini harga normalnya 380K untuk barang bagus begini. Tapi pengirimannya agak lama nyangkut di bea cukai Soekarno Hatta 3 hari. Semoga Temu buka kantor di Indo dan punya ekspedisi sendiri biar cepat nyampenya.",2024-10-09 18:34:41
Remhyl Rusli,5,kalau boleh setiap barang pengiriman COD lagi bagus🙏🙏🙏🙏🙏.terima kasih,2024-09-30 15:55:42
Anunchu 86,5,tingkatkan lagi dari segi kualitas barang yang dipasarkan,2024-10-03 15:53:48
Cap Orang Tua,5,Tolong aplikasi ini bisa masuk resmi ke pasar Indonesia! Kami para konsumer ingin mendapatkan barang terbaik dgn harga terbaik bukan barang ampas impor yg dijual super murah seperti ditoko e-commerce sebelah,2024-07-12 18:32:43
Naura Zallfa,5,"Di temu barang nya bagus² dan murah, tapi sayang nya ga ada destinasi ke Indonesia, pas sy cari tau ternyata menteri Teten udh bicara ke pak presiden ""Teten mengaku sudah meminta Presiden Joko Widodo agar platform digital Temu itu tidak masuk ke Indonesia."" Padahal sy udah mau beli barang² disini🥲",2024-06-10 15:46:36
Maulana Rifki Hamizan,5,"Terbaik,kasi harga yg lebih murah lagi,,biar banyak costumer,,thank for you temu app",2024-08-27 22:14:24
Sely Sofyan Sera,5,"cantik2 puas hati, terimakasih temu, semoga ada diskon dan lbh murah lagi barangnya he..",2024-09-14 20:41:58
Black Romeo,5,"sya suka appa temu.. sebab, banyak barang kita pilih mna yg kita nak beli sesuai kebutuhan.. the best laa",2024-07-24 19:59:47
Ruly Ansyah,5,Untuk yg domisili di indonesia jgn download apk ini percuma tidak ada pengiriman ke indonesia ( karena kebijakan pemerintah RI ),2024-10-09 14:42:51
Alpha Reflek,5,Good aplikasi nya. Sangat cocok untuk belanja dan barang-barangnya murah,2024-08-17 19:56:07
Zaenal Rezza,5,𝒕𝒆𝒑𝒂𝒕 𝒘𝒂𝒌𝒕𝒖 𝒄𝒆𝒑𝒂𝒕.𝒔𝒆𝒎𝒐𝒈𝒂 𝒔𝒆𝒍𝒂𝒍𝒖 𝒕𝒆𝒓𝒃𝒂𝒊𝒌 𝒅𝒊 𝒉𝒂𝒕𝒊 𝒑𝒂𝒓𝒂 𝒑𝒆𝒍𝒂𝒏𝒈𝒈𝒂𝒏,2024-09-19 16:38:35
takusasai fx,5,"Baca komentar, dan Apk tidak berguna di Indonesia / Asia auto UNinstal.",2024-09-11 11:11:20
Cimoud Imut,5,aplikasi yang patut di syorkan untuk mendapatkan apa yang di kehendaki..🙏🙏🙏,2024-10-01 19:11:07
